voyageid,yearam,rig,shipname,captaina,slaximp,mjselimp,tslavesd,arrport,sla1port,slaarriv,sladvoy,vymrtimp,vymrtrat,slamimp,fate,fate2,fate3,fate4,sladamer,adpsale1,adpsale2,captainb,placcons,placreg,yrcons,yrreg,regarr,regdis1,regdis2,regdis3,regem1,regem2,regisreg,constreg,portdep,datedepa,datedepb,datedepc,crew,crew2,crew3,d1slatra,d1slatrb,d1slatrc,datarr32,datarr33,datarr34,datarr36,datarr37,datarr38,datarr39,datarr40,datarr41,date_buy1,date_leftafr,date_land1,date_land2,date_land3,dlslatra,dlslatrb,dlslatrc,voyage,voy2imp,guns,majbuypt,mjbyptimp,majbyimp,majbyimp1,majselpt,mjslptimp,mjselimp1,national,natinimp,ncar13,ncar15,npprior,ownera,ownerb,ownerc,ownerd,ownere,ownerf,ownerg,ownerh,resistance,slas32,slas36,slas39,sourcea,sourceb,sourcec,sourced,sourcee,tonnage,men1,women1,boy1,girl1,infant1,adult1,child1,male1,female1,adlt1imp,chil1imp,male1imp,feml1imp,slavema1,slavemx1,slavmax1,menrat1,womrat1,boyrat1,girlrat1,malrat1,chilrat1,men3,women3,boy3,girl3,infant3,adult3,child3,male3,female3,adlt3imp,chil3imp,male3imp,feml3imp,slavema3,slavemx3,slavmax3,menrat3,womrat3,boyrat3,girlrat3,malrat3,chilrat3,men7,women7,boy7,girl7,infant7,adult7,child7,male7,female7,slavema7,slavemx7,slavmax7,menrat7,womrat7,boyrat7,girlrat7,malrat7,chilrat7,year5,year10,year25,year100,voyageID2,AFRINFO,Other_Cargo,COMMENTS,filter_$
100042,1716,Fregat,London, ,79,Spanish Circum-Caribbean, ,Veracruz, , , , , ,76,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , ,Spanish Circum-Caribbean, , , ,Jamaica, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1716, , , ,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean, ,Veracruz,Spanish Mainland America,Great Britain,Great Britain, , , ,South Sea Company, , , , , , , , , , , ,"Donnan,II,206", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1716-20,years 1711-20,years 1701-25,1700, , , , ,Selected
100043,1716, ,Herbert, ,98,Spanish Circum-Caribbean, ,Cartagena, , , , , ,94,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , ,Spanish Circum-Caribbean, , , ,Jamaica, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1716, , , ,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean, ,Cartagena,Spanish Mainland America,Great Britain,Great Britain, , , ,South Sea Company, , , , , , , , , , , ,"Donnan,II,206", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1716-20,years 1711-20,years 1701-25,1700, , , , ,Selected
100044,1765,Sloop,Nancy,"Jardine, William",11,South Carolina,11,"South Carolina, port unspecified", , , , , ,11,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"Virginia, port unspecified",Kingston (Jamaica),1760,1765,South Carolina, , , ,Jamaica, ,Jamaica,Virginia, , , , , ,6, , , , , , , , , , , , , , ,9/30/1765, , , ,30,9,1765, , ,0,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean, ,"South Carolina, port unspecified",Mainland North America,Great Britain,Great Britain, , , ,"Rowan, James*", , , , , , , , , , , ,"CO 142/18, 136", , , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1761-65,years 1761-70,years 1751-75,1700, , ,sugar, ,Selected
100045,1765,Schooner,Vulcan,"Barger, Nicholas",5,South Carolina,5,"South Carolina, port unspecified", , , , , ,5,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Beaufort (SC),Charleston,1765,1765,South Carolina, , , ,Jamaica, ,South Carolina,South Carolina, , , , , ,5, , , , , , , , , , , , , , ,11/23/1765, , , ,23,11,1765, , ,0,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean, ,"South Carolina, port unspecified",Mainland North America,Great Britain,Great Britain, , , ,"Tebout, T.*", , , , , , , , , , , ,"CO 142/18, 137", , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1761-65,years 1761-70,years 1751-75,1700, , ,"rum, mohagany, soap, candles",intro,Selected
100046,1765,Schooner,Ann,"Darrell, John",9,South Carolina,9,"South Carolina, port unspecified", , , , , ,9,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Bermuda,Bermuda,1763,1763,South Carolina, , , ,Jamaica, ,Other British Caribbean,Other British Caribbean, , , , , ,6, , , , , , , , , , , , , , ,1/28/1765, , , ,28,1,1765, , ,0,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,"South Carolina, port unspecified",Mainland North America,Great Britain,Great Britain, , , ,"Butterfield, Ben.", , , , , , , , , , , ,"CO 142/18, 150", , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1761-65,years 1761-70,years 1751-75,1700, , ,limes, ,Selected
100047,1765,Sloop,Free Bounty,"White, Thomas",4,South Carolina,4,"South Carolina, port unspecified",Charleston,3,1,1,.25,3,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"Massachusetts, port unspecified","Massachusetts, port unspecified",1761,1764,South Carolina,South Carolina, , ,Jamaica, ,Massachusetts,Massachusetts, , , , , ,5, , , , , , ,1765, , , , , , , ,2/20/1765, , , ,20,2,1765, , ,0,"Montego Bay, Jamaica","Montego Bay, Jamaica",Jamaica,Caribbean,Charleston,Charleston,Mainland North America,Great Britain,Great Britain, , , ,"Hosier, Giles", , , , , , , , , , , ,"CO 142/18, 152","SC,Treasury, 1748-, p.439-40", , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1761-65,years 1761-70,years 1751-75,1700, ,African,"pimento, mahogany", ,Selected
100048,1784,Brig,Mars,"Bunner, George",35,Georgia,35,Charleston,Savannah,34,1,1,.0285714285714286,34,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners,1, , , ,Prize (unknown place),Kingston (Jamaica), ,1783,South Carolina,Georgia, , ,Jamaica, ,Jamaica,Non-geographical, , , , ,9, , , , , , ,2,1784, , , , , , , ,1/9/1784, , , ,9,1,1784, , ,0,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean,Savannah,Savannah,Mainland North America,Great Britain,Great Britain, , , ,"Coppell, Johnathan*","Coppell, William","Wallace, Thomas","Donaldson, Joseph", , , , , , , , ,"CO 142/19, 38","GHS, Joseph Clay Letter Book, III, 318","GHS, Clay, Telfair & Co. LB, I, 14 Feb 1784", , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1781-85,years 1781-91,years 1776-1800,1700, ,Angola,"sugar, rum, pimento","""one of the Negroes Died at Sea (a Woman) & another, a Man, a few days after they arr",Selected
100049,1784,Brig,Success,"Cruikshank, R",25,South Carolina,25,Charleston, , , , , ,24,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Prize (unknown place),Kingston (Jamaica), ,1784,South Carolina, , , ,Jamaica, ,Jamaica,Non-geographical, , , , , ,11, , , , , , , , , , , , , , ,1/19/1784, , , ,19,1,1784, , ,0,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean, ,Charleston,Mainland North America,Great Britain,Great Britain, , , ,"Hanburg, J.P.*", , , , , , , , , , , ,"CO 142/19, 38", , , , ,65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1781-85,years 1781-91,years 1776-1800,1700, , ,"rum, pimento", ,Selected
100050,1783,Ship,Nancy,"Davis, Joseph",100,South Carolina,100,Charleston, , , , , ,96,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,"Great Britain, port unspecified",Lancaster,1773,1780,South Carolina, , , ,Jamaica, ,England,Great Britain, , , , , ,20, , , , , , , , , , , , , , ,2/4/1783, , , ,4,2,1783, , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,Charleston,Mainland North America,Great Britain,Great Britain, , , ,"Hinde, Thomas", , , , , , , , , , , ,CO 142/19 f38, , , , ,120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1781-85,years 1781-91,years 1776-1800,1700, , , , ,Selected
100051,1784,Schooner,Rambler,"Dickenson, Vincent",20,South Carolina,20,Charleston, , , , , ,19,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Prize (unknown place),Bermuda, ,1784,South Carolina, , , ,Jamaica, ,Other British Caribbean,Non-geographical, , , , , ,4, , , , , , , , , , , , , , ,6/19/1784, , , ,19,6,1784, , ,0,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean, ,Charleston,Mainland North America,Great Britain,Great Britain, , , ,"Miller, Will", , , , , , , , , , , ,"CO 142/19, 53", , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1781-85,years 1781-91,years 1776-1800,1700, , ,no, ,Selected
100052,1784,Brig,Adventure,"Thomson, Robert",16,South Carolina,16,Charleston, , , , , ,16,"Departed an American port with slaves, subsequent fate unknown",Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,British plantations,"Montego Bay, Jamaica",1782,1784,South Carolina, , , ,Jamaica, ,Jamaica,Non-geographical, , , , , ,6, , , , , , , , , , , , , , ,9/9/1784, , , ,9,9,1784, , ,0,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean, ,Charleston,Mainland North America,Great Britain,Great Britain, , , ,"Thomson, Robert*", , , , , , , , , , , ,"CO 142/19, 65", , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1781-85,years 1781-91,years 1776-1800,1700, , ,"sugar, rum, molasses, merchandise", ,Selected
100053,1784,Snauw,Neptune,"Thompson, Archibald",15,South Carolina,15,Charleston,Charleston,15,0,0,0,15,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Prize (unknown place),"Montego Bay, Jamaica", ,1784,South Carolina,South Carolina, , ,Jamaica, ,Jamaica,Non-geographical, , , , ,6, , , , , ,21,7,1784, , , , , , , ,7/10/1784,7/21/1784, , ,10,7,1784, ,11,0,"Montego Bay, Jamaica","Montego Bay, Jamaica",Jamaica,Caribbean,Charleston,Charleston,Mainland North America,Great Britain,Great Britain, , , ,"Thompson, Archibald", , , , , , , , , , , ,"CO 142/19, 66","Donnan,IV,477",McMillin, , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1781-85,years 1781-91,years 1776-1800,1700, ,African,rum, ,Selected
100054,1784,Brig,Hawke,"Kidd, George",5,South Carolina,5,Charleston,Charleston,3,2,2,.4,3,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,British plantations,Bermuda,1781,1783,South Carolina,South Carolina, , ,Jamaica, ,Other British Caribbean,Non-geographical, , , , ,9, , , , , ,18,10,1784, , , , , , , ,9/25/1784,10/18/1784, , ,25,9,1784, ,23,0,"Montego Bay, Jamaica","Montego Bay, Jamaica",Jamaica,Caribbean,Charleston,Charleston,Mainland North America,Great Britain,Great Britain, , , ,"Hayes, Robert*", , , , , , , , , , , ,"CO 142/19, 67",McMillin, , , ,65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1781-85,years 1781-91,years 1776-1800,1700, , ,"sugar, rum", ,Selected
100055,1784,Brig,Neptune,"Thompson, Archibald",61,South Carolina,40,Charleston,Charleston,59, , , ,59,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Prize (unknown place),"Montego Bay, Jamaica", ,1784,South Carolina,South Carolina, , ,Jamaica, ,Jamaica,Non-geographical, , , , ,6, , , , , ,20,12,1784, , , , , , , ,11/20/1784,12/20/1784, , ,20,11,1784, ,30,0,Kingston (Jamaica),Kingston (Jamaica),Jamaica,Caribbean,Charleston,Charleston,Mainland North America,Great Britain,Great Britain, , , ,"Thompson, Archibald", , , , , , , , , , , ,"CO 142/19, 79",McMillin, , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1781-85,years 1781-91,years 1776-1800,1700, , ,rum, ,Selected
100056,1787,Sloop,Lovely Mary,"Brown, John",5,South Carolina,5,Charleston,Charleston,5,0,0,0,5,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,Prize (unknown place),"Barbados, port unspecified", ,1784,South Carolina,South Carolina, , ,Jamaica, ,Barbados,Non-geographical, , , , ,5, , , , , ,5,3,1787, , , , , , , ,2/17/1787,3/5/1787, , ,17,2,1787, ,16,0,"Montego Bay, Jamaica","Montego Bay, Jamaica",Jamaica,Caribbean,Charleston,Charleston,Mainland North America,Great Britain,Great Britain, , , ,"Field, Pat", , , , , , , , , , , ,"CO 142/20, 40",McMillin, , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, ,African,"sugar, rum", ,Selected
100057,1788,Sloop,Little Peggy,"Duncan, George",1,North Carolina,1,Charleston,Brunswick,1,0,0,0,1,Voyage completed as intended,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , ,British plantations,"Montego Bay, Jamaica", ,1787,South Carolina,North Carolina, , ,Jamaica, ,Jamaica,Non-geographical, , , , ,4, , , , , ,21,1,1788, , , , , , , ,11/24/1787,1/21/1788, , ,24,11,1787, ,58,0,"Montego Bay, Jamaica","Montego Bay, Jamaica",Jamaica,Caribbean,Brunswick,Brunswick,Mainland North America,Great Britain,Great Britain, , ,1,"Mitchell, John","Mitchell, John Jr.", , , , , , , , , , ,"CO 142/20, 78","Minchinton, 50",McMillin, , ,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1786-90,years 1781-91,years 1776-1800,1700, , ,rum, ,Selected
100067,1717,Ship,Thomas,"Thomas, Rich",13,South Carolina, , ,Charleston,12, , , ,12,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,South Carolina, , ,Jamaica, , , , , , , , , , , , , , , ,1717, , , , , , , , , , , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Charleston,Charleston,Mainland North America, ,Great Britain, , , , , , , , , , , , , , , ,CO 5/508, , , , ,70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1716-20,years 1711-20,years 1701-25,1700, , , , ,Selected
100068,1717,Sloop,Doves,"Dutton, Thomas",17,South Carolina, , ,Charleston,16, , , ,16,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,South Carolina, , ,Jamaica, , , , , , , , , , , , , , , ,1717, , , , , , , , , , , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Charleston,Charleston,Mainland North America, ,Great Britain, , , , , , , , , , , , , , , ,CO 5/508, , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1716-20,years 1711-20,years 1701-25,1700, , , , ,Selected
100070,1718,Sloop,Neptune,"Masters, John",15,South Carolina, , ,Charleston,14, , , ,14,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,South Carolina, , ,Jamaica, , , , , , , , , , , , , ,20,1,1718, , , , , , , , ,1/20/1718, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Charleston,Charleston,Mainland North America, ,Great Britain, , , , , , , , , , , , , , , ,CO 5/508, , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1716-20,years 1711-20,years 1701-25,1700, , , , ,Selected
100071,1718,Sloop,Montgomery,"Shrimpton, Sam",15,South Carolina, , ,Charleston,14, , , ,14,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,South Carolina, , ,Jamaica, , , , , , , , , , , , , ,24,2,1718, , , , , , , , ,2/24/1718, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Charleston,Charleston,Mainland North America, ,Great Britain, , , , , , , , , , , , , , , ,CO 5/508, , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1716-20,years 1711-20,years 1701-25,1700, , , , ,Selected
